,Title,Score,Score Title,Number of Reviews,Description,Nearest Metropolis,City,Hotel Brand,Type,Star
113,W Los Angeles – West Beverly Hills,7.7, Good ,276,"Located at the foothills of Bel Air and adjacent to Beverly Hills, this luxury boutique hotel is 15 minutes away from the famed beaches of Santa Monica and near the entertainment of the Sunset Strip. ",Los Angeles,Westwood,W,Hotel,4
114,Courtyard by Marriott San Francisco Downtown,8.4, Very Good ,1035,"Located in Central San Francisco, Courtyard by Marriott San Francisco Downtown boasts an indoor swimming pool and a hot tub, an on-site restaurant and a fitness centre with treadmills, bicycles and...",San Francisco,South Beach,Marriott,Hotel,4
115,Casablanca Inn on The Beach,7.8, Good ,481,"Located across the street from the Santa Cruz Wharf and Santa Cruz Beach Boardwalk, Casablanca Inn on The Beach overlooks Monterey Bay. Free WiFi and ocean views are featured in most rooms. ",San Francisco,Westside Santa Cruz,Local,Hotel,4
116,InterContinental San Francisco,8.4, Very Good ,759,"Overlooking San Francisco's SoMa area and moments from top city center sites, InterContinental San Francisco provides guests with modern in-room amenities. ",San Francisco,Downtown San Francisco,Intercontinental,Hotel,4
117,The Park Central San Francisco,8.1, Very Good ,2074,"Featuring a fitness center, The Park Central San Francisco is conveniently located 459 feet from the Market Street-Kearny cable car stop. A flat-screen TV is available in each room. ",San Francisco,Union Square,Local,Hotel,4
118,The Westin St. Francis San Francisco on Union Square,8.4, Very Good ,1942,"Home to the historic Magneta Grandfather Clock, this luxury Union Square hotel is directly in front of a San Francisco cable car stop. ",San Francisco,Union Square,Westin,Hotel,4
119,"H Hotel Los Angeles, Curio Collection By Hilton",8.8, Excellent ,1182,"Located just 0.2 mi from LAX Airport via complimentary airport shuttle, the H Hotel Los Angeles, Curio Collection by Hilton features an outdoor pool. ",Los Angeles,LAX Area,Hilton,Hotel,4
120,San Francisco Marriott Union Square,8.4, Very Good ,808,"This hotel, located in the center of San Francisco, is 0.7 miles from both the Moscone Center and the Financial District. It offers a well-equipped fitness centre and chic, modern rooms. ",San Francisco,Union Square,Marriott,Hotel,4
121,San Francisco Marriott Fisherman's Wharf,8.4, Very Good ,293,"This San Francisco hotel is within 10 minutes' walk of Fisherman’s Wharf. The hotel features the Golden Green Spa, a full service spa. The hotel offers a refrigerator in every room. ",San Francisco,Fisherman's Wharf,Marriott,Hotel,4
122,"The Standard, Hollywood",7.8, Good ,587,"Located on the Sunset Strip in West Hollywood, this hotel offers a rooftop pool with city views. Featuring live music and shag carpets, guests can relax in the lounge. ",Los Angeles,West Hollywood,Local,Hotel,4
123,The Westin Bonaventure Hotel & Suites,8.4, Very Good ,650,"Featuring a restaurant with 35th floor panoramic views and an outdoor pool, this hotel is within 1 mi from the Grammy Museum, Los Angeles Convention Center, Nokia Theater L.A. ",Los Angeles,Downtown LA,Westin,Hotel,4
124,Inn at Venice Beach,8.3, Very Good ,583,This boutique hotel is a 3 minute-drive from Venice Beach Park and offers a café. Its spacious rooms have free Wi-Fi. Inn at Venice Beach provides contemporary rooms with a cable TV and a safe. ,Los Angeles,Venice Beach,Local,Hotel,4
125,Hotel Erwin,8.5, Very Good ,813,"Overlooking the Pacific Ocean and down the street from the Venice Beach Boardwalk, this hotel offers  comfortable guestrooms with complimentary WiFi. ",Los Angeles,Venice Beach,Local,Hotel,4
126,Huntley Santa Monica Beach,8.8, Excellent ,778,"Located less than 5 minutes’ walk to 3rd Street Promenade and the Santa Monica State Beach path, this Santa Monica modern beach-side luxury hotel features a restaurant, bar, and lounge. ",Los Angeles,Santa Monica,Local,Hotel,4
127,Kimpton Sir Francis Drake Hotel,7.7, Good ,1216,"Located at Union Square in San Francisco, Kimpton Sir Francis Drake Hotel features a restaurant, a 24-hour fitness center, and a 24-hour business center. ",San Francisco,Union Square,Kimpton,Hotel,4
128,Montrose West Hollywood,8.3, Very Good ,128,"Montrose West Hollywood is located in a quiet West Hollywood neighborhood, just 0.5 mi from the famous Sunset Strip. The hotel offers a rooftop pool terrace with a pool, a tennis court, and cabanas. ",Los Angeles,West Hollywood,Local,Hotel,4
129,Sunset Marquis Hotel,9.1, Awesome ,236,"The Sunset Marquis Hotel Los Angeles is located in the heart of West Hollywood. Hidden away in a tree lined cul-de-sac, it is just steps from the famed sidewalks of the Sunset Strip in West Hollywood....",Los Angeles,West Hollywood,Local,Hotel,4
130,Sheraton Grand Sacramento,8.2, Very Good ,268,"Located inside the beautifully restored Public Market Building, this Sacramento hotel is near area points of interest and provides comfortable accommodations and modern amenities, in the heart of the...",Sacramento,Downtown Sacramento,Sheraton,Hotel,4
131,Shore Hotel,8.5, Very Good ,1085,"Just a 6-minute walk from Santa Monica Pier, this California hotel provides each room with a private balcony. Sight-seeing tours are available. ",Los Angeles,Santa Monica,Local,Hotel,4
132,Le Meridien Delfina Santa Monica,8.0, Very Good ,752,"Located in the heart of Santa Monica, this eco-friendly hotel offers air-conditioned guest rooms and a heated outdoor pool with poolside cabanas. ",Los Angeles,Santa Monica,Le Meridien,Hotel,4
133,W Hollywood,8.0, Very Good ,611,"This boutique Hollywood hotel is located on the doorstep of the Hollywood Walk of Fame and is 15 minutes’ walk from Dolby Theater. It offers a rooftop pool, full-service spa and on-site dining...",Los Angeles,Hollywood,W,Hotel,4
134,Hotel Via,8.8, Excellent ,324,"Located in the South Beach neighborhood of San Francisco, with Oracle Park across the street, Hotel Via is outfitted with modern, custom-made furniture and features a sun terrace and views of the...",San Francisco,South Beach,Local,Hotel,4
135,Hotel Via,8.8, Excellent ,324,"Located in the South Beach neighborhood of San Francisco, with Oracle Park across the street, Hotel Via is outfitted with modern, custom-made furniture and features a sun terrace and views of the...",San Francisco,South Beach,Local,Hotel,4
136,InterContinental Los Angeles Century City at Beverly Hills,8.7, Excellent ,561,"Boasting an outdoor infinity pool, this hotel is a short walk from 20th Century Fox Studios and is less than 1.5 mi from Rodeo Drive. All spacious rooms offer a private terrace with city views. ",Los Angeles,Century City,Intercontinental,Hotel,4
137,"Hotel Paradox, Autograph Collection",8.8, Excellent ,201,"Featuring an outdoor pool with cabanas available, Hotel Paradox, Autograph Collection offers fire-pits for guest use. A restaurant and bar is on site. The modern rooms feature free WiFi. ",San Francisco,Westside Santa Cruz,Autograph,Hotel,4
138,Kimpton Hotel Palomar Los Angeles Beverly Hills,8.3, Very Good ,469,"Just 2 miles from Beverly Hills, this stylish 100% nonsmoking Los Angeles hotel features an outdoor swimming pool and lounge. A hosted wine tasting hour is offered daily. UCLA is 5 minutes’ drive...",Los Angeles,Westwood,Kimpton,Hotel,4
139,Kimpton Buchanan Hotel,8.5, Very Good ,644,"Located in the heart of Japantown, Kimpton Buchanan Hotel features spacious accommodations and an on-site restaurant and bar. ",San Francisco,Japantown,Kimpton,Hotel,4
140,Doubletree by Hilton Los Angeles Downtown,7.7, Good ,592,"Within walking distance to the Financial District and 10 minutes' drive to Nokia Theater LA LIVE, this hotel in downtown Los Angeles offers a 24-hour fitness center. ",Los Angeles,Downtown LA,Hilton,Hotel,4
141,Chamberlain West Hollywood,8.3, Very Good ,408,"Just steps away from the famous Sunset Boulevard, the Chamberlain West Hollywood offers accommodations in the heart of West Hollywood. ",Los Angeles,West Hollywood,Local,Hotel,4
142,DoubleTree Suites by Hilton Santa Monica,8.0, Very Good ,1222,This California hotel is 3 blocks from the Santa Monica Beach and Pier. An outdoor pool is available along with rooms with a 55 inch flat-screen TV. ,Los Angeles,Santa Monica,Hilton,Hotel,4
143,InterContinental The Clement Monterey,9.2, Awesome ,934,"Located in the heart of Monterey's historic Cannery Row, InterContinental The Clement Monterey features elegant accommodations, on-site dining options and modern amenities. ",Monterey,Cannery Row,Intercontinental,Hotel,4
144,Beverly Hills Marriott,8.0, Very Good ,375,This Los Angeles hotel is less than 1 mile from shopping at Rodeo Drive and the Museum of Tolerance. It features an outdoor pool and spacious rooms with free WiFi and a 42-inch flat-screen TV. ,Los Angeles,Beverly Hills,Marriott,Hotel,4
145,Hyatt Regency Sacramento,8.8, Excellent ,593,"Located across the street from the California State Capitol, Hyatt Regency Sacramento features an outdoor heated pool, a restaurant, and a full service spa. Free WiFi is offered in all rooms. ",Sacramento,Downtown Sacramento,Hyatt,Hotel,4
146,The Los Angeles Athletic Club,8.8, Excellent ,560,TLC Chinese Theater is 15 minutes’ drive from this Los Angeles hotel. Guests have free use of the athletic club with fitness classes and an indoor pool. ,Los Angeles,Downtown LA,Local,Hotel,4
147,Courtyard by Marriott Fishermans Wharf,8.7, Excellent ,475,This San Francisco hotel is 4 miles from the Golden Gate Bridge and within a 5-minute walk of Fisherman’s Wharf. The hotel offers concierge service and rooms with refrigerators. ,San Francisco,Fisherman's Wharf,Marriott,Hotel,4
148,The Charlie West Hollywood,9.1, Awesome ,270,"Once home to Charlie Chaplin, this historical hotel is centrally located in West Hollywood. ",Los Angeles,West Hollywood,Local,Hotel,4
149,ARRIVE Palm Springs,9.2, Awesome ,477,"ARRIVE is located in Palm Springs, 1 mi away from downtown Palm Springs. Guests can enjoy the convenient on-site bar. Each air-conditioned room at ARRIVE features a DirecTV, an Apple TV. ",Palm Springs,Downtown Palm Springs,Local,Hotel,4
150,AC Hotel by Marriott Beverly Hills,9.0, Awesome ,9,"Located in Los Angeles, AC Hotel by Marriott Beverly Hills has a fitness center and shared lounge. ",Los Angeles,Beverly Hills,Marriott,Hotel,4
151,San Francisco Proper Hotel,8.5, Very Good ,223,"Located in a historic flatiron building in the heart of Market Street, San Francisco Proper Hotel offers a unique urban hotel experience. ",San Francisco,Downtown San Francisco,Local,Hotel,4
152,Monterey Marriott,8.4, Very Good ,355,"Monterey Marriott features 2 on-site restaurants and an outdoor pool. Located off Highway 1, it is a 5-minute drive away from Monterey Bay Aquarium. ",Monterey,Downtown Monterey,Marriott,Hotel,4
153,Tuck Hotel,8.8, Excellent ,278,"Tuck Hotel has air-conditioned rooms in Los Angeles. Featuring a 24-hour front desk, this property also provides guests with a restaurant. ",Los Angeles,Downtown LA,Local,Hotel,4
154,Sirtaj Hotel,8.4, Very Good ,291,"Just half a mile from shopping and dining on Rodeo Drive, this Beverly Hills boutique hotel features modern Eastern-inspired décor and free Wi-Fi. A restaurant and bar is located on site. ",Los Angeles,Beverly Hills,Local,Hotel,4
155,Ocean Echo Inn & Beach Cottages,8.4, Very Good ,284,"Built in the early 1900s, Ocean Echo Inn & Beach Cottages is located on a quiet cul-de-sac that ends at Monterey Bay's unique Sunny Cove Beach. ",San Francisco,Eastside Santa Cruz,Local,Hotel,4
156,Harbor View Inn,8.9, Excellent ,1068,"Offering an outdoor pool and hot tub, this Santa Barbara hotel is less than a 5-minute walk from Stearn’s Wharf. Guests can enjoy a full service spa experience at Spa Beaumontia, located on-site. ",Santa Barbara,West Beach,Local,Hotel,4
157,Kimpton Sawyer Hotel,9.1, Awesome ,176,"Offering a year-round outdoor pool, Kimpton Sawyer Hotel is located in the heart of Sacramento at the Downtown Commons (DOCO).  The hotel offers private parking a variety of on-site dining options. ",Sacramento,Downtown Sacramento,Kimpton,Hotel,4
158,"The Citizen Hotel, Autograph Collection",8.8, Excellent ,247,"Located in Sacramento, a 7-minute walk from Sacramento Convention Center, The Citizen Hotel, Autograph Collection provides accommodations with a fitness center. ",Sacramento,Downtown Sacramento,Autograph,Hotel,4
159,Santa Barbara Inn,9.1, Awesome ,739,"Featuring free WiFi throughout the property, the Santa Barbara Inn is located in Santa Barbara, 1.4 mi from Antioch College. ",Santa Barbara,East Beach,Local,Hotel,4
160,The Colony Palms Hotel,8.8, Excellent ,304,"Centrally located in downtown Palm Springs, this hotel offers stunning mountain views, a full-service spa and an on-site restaurant in an ideal location. ",Palm Springs,Downtown Palm Springs,Local,Hotel,4
161,Renaissance Palm Springs Hotel,8.5, Very Good ,695,"Renaissance Palm Springs offers free airport shuttles to Palm Springs Airport, 1.5 miles away.  All rooms have LCD TVs and iPod docks.  A spa and outdoor pool with private cabanas are on site. ",Palm Springs,Downtown Palm Springs,Renaissance,Hotel,4
162,Hyatt Palm Springs,8.0, Very Good ,688,"In the center of town of Palm Springs, Hyatt Palm Springs is just 3 miles from Palm Springs International Airport. An outdoor heated swimming pool and hot tub are featured at this hotel. ",Palm Springs,Downtown Palm Springs,Hyatt,Hotel,4
163,Hilton Palm Springs,8.5, Very Good ,564,"Within walking distance to Palm Springs Convention Center and moments from other popular area attractions, this hotel features exceptional on-site facilities, including a full-service day spa and...",Palm Springs,Downtown Palm Springs,Hilton,Hotel,4
164,The Willows Historic Inn,9.8, Exceptional ,66,This elegant luxury hotel is next to the Palm Springs Art Museum.  It features a gourmet breakfast and a large outdoor pool surrounded by a lush green garden. The classic guest rooms feature free...,Palm Springs,Downtown Palm Springs,Local,Hotel,4
165,Kimpton Rowan Palm Springs Hotel,9.2, Awesome ,139,"Located in Palm Springs, Kimpton Rowan Palm Springs Hotel features a year-round outdoor pool. The hotel has a sun terrace and views of the mountain, and guests can enjoy a drink at the bar. ",Palm Springs,Downtown Palm Springs,Kimpton,Hotel,4
166,The Sofia Hotel,8.6, Excellent ,502,"In downtown San Diego near the historic Gaslamp Quarter and Amtrak Station, this hotel offers relaxing spa services, contemporary guest rooms and an on-site restaurant. ",San Diego,Downtown San Diego,Local,Hotel,4
167,Crowne Plaza Hotel Mission Valley,7.7, Good ,880,"Adjacent to Riverwalk Golf Course and 3 miles from Sea World theme park, this hotel features an on-site restaurant and bar. It has spacious rooms with a private balcony. ",San Diego,Mission Valley,Crowne Plaza,Hotel,4
168,Hard Rock Hotel San Diego,8.6, Excellent ,738,"Featuring a beautiful rooftop pool deck, active nightlife and full-service spa, this modern, music-centered hotel stands within San Diego’s Gaslamp district. ",San Diego,Downtown San Diego,Hard Rock,Hotel,4
169,The Keating Hotel by Pininfarina,8.1, Very Good ,147,This design hotel is located in San Diego’s vibrant Gaslamp District. It features personal concierge service and a tour desk. Free WiFi and a flat-screen cable TV is provided in every room. ,San Diego,Downtown San Diego,Local,Hotel,4
170,Estancia La Jolla Hotel & Spa,8.7, Excellent ,266,"Located adjacent to University of California San Diego, this boutique La Jolla hotel features an outdoor pool, 3 restaurants and a spa and wellness center.  Free Wi-Fi is available in each guest room....",San Diego,La Jolla,Local,Hotel,4
171,Cosmopolitan Hotel,8.6, Excellent ,241,"In a historic building dating back to 1869, this Old Town San Diego hotel offers guests rooms with Victorian-style furnishings and features an on-site restaurant and bar. ",San Diego,Old Town,Local,Hotel,4
172,Tower 23 Hotel,9.2, Awesome ,329,"Combining minimalist design with sleek sophistication, Tower 23 Hotel is just 2 minutes' walk from Pacific Beach Pier and the boardwalk. ",San Diego,Pacific Beach,Local,Hotel,4
173,Pacific Terrace Hotel,8.9, Excellent ,226,"Featuring a beachfront outdoor pool and hot tub, this San Diego, California beach resort is located on Pacific Beach Park. Ocean views are featured in select island-inspired rooms. ",San Diego,Pacific Beach,Local,Hotel,4
174,The Bristol Hotel,8.7, Excellent ,466,"Adjacent to the Gaslamp Quarter, this San Diego hotel is 1.1 mi drive away from cruise ship terminals in San Diego Harbor and the USS Midway Museum. ",San Diego,Downtown San Diego,Local,Hotel,4
175,The Westgate Hotel,8.8, Excellent ,126,"Featuring spectacular views of downtown San Diego, this hotel is 3 blocks from the 5th Avenue Light Rail Station. It features a rooftop outdoor pool, a full-service spa, a gym and a restaurant. ",San Diego,Downtown San Diego,Local,Hotel,4
176,Grande Colonial La Jolla,8.8, Excellent ,146,"Just 5 minutes' walk from the Museum of Contemporary Art San Diego, this eco-friendly 4-star hotel offers a fine-dining restaurant and a large outdoor pool. ",San Diego,La Jolla,Local,Hotel,4
177,La Valencia Hotel,8.6, Excellent ,305,"Combining old-world charm with modern amenities, this Mediterranean designed La Jolla hotel is 20 minutes’ drive from San Diego International Airport. ",San Diego,La Jolla,Local,Hotel,4
178,Hilton San Jose,7.9, Good ,196,"Adjacent to the San Jose McEnery Convention Center and just 3.1 mi from Mineta San Jose International Airport, this Silicon Valley hotel offers convenient amenities and comfortable guestrooms. ",San Francisco,Downtown San Jose,Hilton,Hotel,4
179,"Hotel La Jolla, Curio Collection by Hilton",7.9, Good ,204,"Located 10 minutes’ walk to the Pacific Ocean, this modern, chic San Diego hotel features a heated outdoor swimming pool. SeaWorld San Diego is 15 minutes’ drive away. ",San Diego,La Jolla,Hilton,Hotel,4
180,Hotel De Anza,8.1, Very Good ,288,"This classic hotel is in downtown San Jose, which features shopping and dining. The property features a multilingual front and tour desk. The hotel provides rooms service for each meal. ",San Francisco,Downtown San Jose,Local,Hotel,4
181,Hilton Garden Inn San Diego Del Mar,8.4, Very Good ,141,"Located in the peaceful setting of San Diego's Torrey Hills area, this hotel offers relaxing spa services and delicious on-site dining options just minutes from some of San Diego's greatest...",San Diego,Carmel Valley,Hilton,Hotel,4
182,San Jose Marriott,8.4, Very Good ,188,"Located in Central San Jose, San Jose Marriott offers a 24-hour fitness center and an outdoor swimming pool. This hotel is conveniently located 2 minutes’ walk from San Jose McEnery Convention Center....",San Francisco,Downtown San Jose,Marriott,Hotel,4
183,Catamaran Resort Hotel and Spa,8.5, Very Good ,109,"Located 100 yards from the Pacific Ocean, this San Diego resort features an outdoor pool and full-service spa with beauty treatments. Rooms at the resort include free Wi-Fi. ",San Diego,Mission Bay,Local,Hotel,4
184,Freehand Los Angeles,8.6, Excellent ,4228,"Located 2625 feet from LA Live in Downtown Los Angeles, the Freehand Los Angeles features a rooftop pool & bar with 360-degree views of the city. ",Los Angeles,Downtown LA,Local,Hotel,4
185,"The Westin Verasa, Napa",9.1, Awesome ,87,"Ideally situated along the Napa River in the Napa wine region, the eco-friendly Westin Verasa boasts gourmet restaurants and an outdoor saltwater pool with panoramic mountain views. ",Napa,Downtown Napa,Westin,Hotel,4
186,Pier 2620 Hotel Fisherman's Wharf,8.5, Very Good ,1840,"Only 4 minutes’ walk away from San Francisco’s Fisherman’s Wharf, Pier 2620 Hotel Fisherman’s Wharf features contemporary features such as a state-of-the-art fitness center. ",San Francisco,Fisherman's Wharf,Local,Hotel,4
187,Dream Inn Santa Cruz,9.1, Awesome ,800,"This beachfront hotel is located next to Santa Cruz’s famous boardwalk and steps from the center of the city, making it an ideal destination for a weekend escape, corporate event, family vacation or...",San Francisco,Westside Santa Cruz,Local,Hotel,4
188,Hotel EPIK,7.5, Good ,1457,"Located just 6 minutes’ walk from Civic Center Plaza, Hotel EPIK offers accommodations in Downtown San Francisco.  All rooms at this hotel offer free WiFi. ",San Francisco,Tenderloin,Local,Hotel,4
189,Yotel San Francisco,8.8, Excellent ,13,"Featuring free WiFi and a restaurant, YOTEL SAN FRANCISCO offers accommodations 1969 feet away from attractions such as San Francisco City Hall, the Asian Art Museum and Bill Graham Civic Auditorium. ",San Francisco,Downtown San Francisco,Local,Hotel,4
190,University Club of San Francisco,7.7, Good ,169,"Located in downtown San Francisco, this hotel is 4.3 mi away from the famous Golden Gate Bridge. University Club of San Francisco features multiple squash courts and rooms with free WiFi. ",San Francisco,Nob Hill,Local,Hotel,4
191,Hotel Emblem San Francisco,8.1, Very Good ,508,"This Beat Generation-inspired boutique centrally located hotel is located in San Francisco's Theater District, just 4 minutes' walk from Union Square. ",San Francisco,Union Square,Local,Hotel,4
192,Stanford Court San Francisco,8.2, Very Good ,1531,"Located adjacent to the Powell and California cable car stop, Stanford Court San Francisco is a technology-friendly boutique hotel that features a lobby and business center equipped with 7 MacBooks,...",San Francisco,Nob Hill,Local,Hotel,4
193,Le Meridien San Francisco,8.7, Excellent ,379,"Centrally located in San Francisco's Financial District and steps away from Chinatown and the Ferry Building, this luxurious hotel offers unrivaled accommodation and state-of-the-art amenities,...",San Francisco,Financial District,Le Meridien,Hotel,4
194,Pacific Blue Inn,9.1, Awesome ,192,"Just 10 minutes’ walk from the Santa Cruz Beach Boardwalk, this eco-friendly hotel offers rooms with attached bathroom with flat-screen cable TVs and iPod docking stations. ",San Francisco,Westside Santa Cruz,Local,Hotel,4
195,Custom Hotel,6.9, Review score ,1995,"Located just 5 minutes' drive via the property's complimentary shuttle from Los Angeles International Airport, Custom Hotel offers a heated outdoor pool complete with cabanas, a fire pit, and...",Los Angeles,LAX Area,Local,Hotel,4
196,Hotel Angeleno,8.0, Very Good ,1502,"Minutes from the Getty Center museum and the University of California - Los Angeles, this hotel offers a gym and outdoor pool. Free WiFi is provided. ",Los Angeles,Westwood,Local,Hotel,4
197,Omni Los Angeles Hotel California Plaza,8.6, Excellent ,429,"Located at California Plaza atop historic Bunker Hill in the heart of downtown Los Angeles, Omni Los Angeles Hotel California Plaza features 2 on-site restaurants, an outdoor heated lap pool, and a...",Los Angeles,Downtown LA,Omni,Hotel,4
198,Hotel Vertigo San Francisco,8.0, Very Good ,261,"Located in San Francisco's Nob Hill neighborhood, this urban boutique hotel is 5 minutes' walk from Union Square. The environmentally friendly hotel offers nonsmoking guest rooms with free WiFi. ",San Francisco,Downtown San Francisco,Local,Hotel,4
199,The Garland,8.6, Excellent ,525,"Close to Universal City, home of more than 50 shops and restaurants, this hotel in North Hollywood, California offers contemporary amenities such as free wireless internet and an on-site restaurant. ",Los Angeles,Universal City,Local,Hotel,4
200,Hotel G San Francisco,8.2, Very Good ,598,"Featuring an oyster bar, this San Francisco hotel is just 2 minutes’ walk from Union Square and cable car lines. All rooms offer and custom amenities. ",San Francisco,Union Square,Local,Hotel,4
201,Hotel Drisco,9.6, Exceptional ,211,"Built in 1903, Hotel Drisco features Edwardian architecture. Atop Pacific Heights on Pacific Avenue, this luxurious San Francisco hotel is only 5 minutes' walk from Presidio National Park. ",San Francisco,Pacific Heights,Local,Hotel,4
202,Hotel Zelos San Francisco,8.3, Very Good ,958,"This contemporary eco-friendly hotel is ideally located in downtown San Francisco, 7 minutes' walk from Union Square. It features a gym and in-room spa services. ",San Francisco,Union Square,Local,Hotel,4
203,Hotel Triton,8.0, Very Good ,581,"Originally opened in 1913, Hotel Triton is a uniquely designed hotel with guest rooms that pay tribute to Jack Kerouac. This centrally located San Francisco hotel hosts art exhibits by local artists. ",San Francisco,Union Square,Local,Hotel,4
204,Delta Hotels by Marriott Anaheim Garden Grove,7.8, Good ,552,Delta Hotels by Marriott Anaheim Garden Grove is ideally located one mile from the Anaheim Convention Center and Disneyland. It offers an outdoor pool and on-site restaurant. ,Los Angeles,Garden Grove,Marriott,Hotel,4
205,The Georgian Hotel,8.4, Very Good ,703,"Overlooking the Pacific Ocean, this historic, boutique hotel is 10 minutes’ walk from Santa Monica Pier. It offers a gym, indoor and outdoor dining and elegant rooms with free Wi-Fi. ",Los Angeles,Santa Monica,Local,Hotel,4
206,Hotel Diva San Francisco,7.8, Good ,813,"Featuring a modern fitness center, this San Francisco hotel is 3 minutes’ walk to the shops, restaurants and galleries of Union Square. All modern rooms provide free WiFi. ",San Francisco,Union Square,Local,Hotel,4
207,Tilden Hotel,7.3, Good ,353,This boutique hotel is 6 minutes’ walk from San Francisco's vibrant Union Square. It offers an on-site gym and contemporary rooms. ,San Francisco,Union Square,Local,Hotel,4
208,Hotel Union Square San Francisco,7.7, Good ,1100,"Situated 1 minutes’ walk away from the cable car turnaround, Hotel Union Square San Francisco features unique guest rooms and features a tour desk and a 24-hour reception. ",San Francisco,Union Square,Local,Hotel,4
209,"Hotel Adagio, Autograph Collection",8.1, Very Good ,169,"Centrally located in heart of San Francisco, this luxury boutique hotel is a 5-minute walk from Union Square and a 2-minute walk from the American Conservatory Theater. ",San Francisco,Union Square,Autograph,Hotel,4
210,Hotel Zeppelin San Francisco,8.4, Very Good ,1149,"Just 984 feet from San Francisco’s vibrant Union Square, Hotel Zeppelin San Francisco is a boutique hotel nestled in San Francisco’s Theater District. Free WiFi is included in each pet-friendly room. ",San Francisco,Union Square,Local,Hotel,4
211,Southbridge Napa Valley,9.1, Awesome ,95,"In downtown Saint Helena, this designer hotel is adjacent to Merryvale Winery. It features a spa with outdoor pool and spacious rooms with fireplace and a private balcony. ",Napa,St. Helena,Local,Hotel,4
212,"The Ritz-Carlton, Lake Tahoe",8.7, Excellent ,88,"Featuring ski-in/ski-out access at Northstar California, this luxurious Lake Tahoe resort offers a spa, 2 outdoor swimming pools and 3 restaurants. Kings Beach on Lake Tahoe is 15 minutes' drive away....",Lake Tahoe,Truckee,Ritz-Carlton,Hotel,4
213,Allegretto Vineyard Resort Paso Robles,9.3, Awesome ,301,"Featuring an outdoor pool and a restaurant, Allegretto Vineyard Resort Paso Robles offers accommodations in Paso Robles, 1.2 mi from Paso Robles Event Center. ",San Luis Obispo,Paso Robles,Local,Hotel,4
214,Hotel Azure,8.6, Excellent ,1119,"Located directly across the street from Lake Tahoe, Hotel Azure is just 2 mi from Heavenly Ski Resort.  A seasonal outdoor pool and a café are located on-site.  All rooms feature free WiFi. ",Lake Tahoe,South Lake Tahoe,Local,Hotel,4
215,Bungalows 313,9.8, Exceptional ,30,"A 3-minute walk from Sonoma Plaza, these European-style private bungalows feature fully equipped modern kitchens where guests can cook a full meal. ",Napa,Sonoma,Local,Hotel,4
216,The Lodge at Sonoma Renaissance Resort & Spa,8.6, Excellent ,113,"Located in Sonoma Valley, the Lodge at Sonoma Renaissance Resort & Spa offers a variety of beauty treatments at the full-service Raindance Spa. ",Napa,Sonoma,Renaissance,Hotel,4
217,DoubleTree by Hilton Berkeley Marina,7.9, Good ,1018,"Located at the Berkeley Marina, overlooking the San Francisco Bay, DoubleTree by Hilton Berkeley Marina greets its guest with a freshly-baked cookie. ",San Francisco,Berkeley,Hilton,Hotel,4
218,Embassy Suites Napa Valley,8.4, Very Good ,730,"Set in the heart of Northern California's famed Napa and Sonoma wine country, the Embassy Suites Napa Valley features spacious 2-room accommodations along with an exceptional variety of on-site...",Napa,Napa,Embassy,Hotel,4
219,Vista Collina Resort,8.5, Very Good ,30,"Offering free WiFi, Vista Collina Resort offers accommodations in Napa, 4 mi from downtown Napa. ",Napa,Napa,Local,Hotel,4
220,"Hotel Napa Valley, an Ascend Hotel Collection Member",8.8, Excellent ,528,"Daily homemade breakfast is included with all rooms at Hotel Napa Valley. Located in Downtown Napa Valley, guests are just 5-15 minutes' walk from 24 wine tasting rooms and 50 local restaurants. ",Napa,Napa,Local,Hotel,4
221,The Nest Hotel,8.1, Very Good ,324,"Located in Palo Alto, The Nest Hotel features an on-site wine bar and serves a daily European-style breakfast. Each stylish room includes free WiFi.  Free guest parking is available. ",San Francisco,Palo Alto,Local,Hotel,4
222,Wine Country Inn & Cottages,9.1, Awesome ,155,"Wine Country Inn & Cottages offers accommodations with a swimming pool in St. Helena. With free WiFi, this 4-star inn offers a complimentary breakfast. ",Napa,St. Helena,Local,Hotel,4
223,Crowne Plaza Cabana Hotel,8.2, Very Good ,272,"Providing free scheduled shuttle service to sites within a 5-mile radius, this hotel located in Palo Alto, California is a short drive from Paramount's Great America theme park. ",San Francisco,Palo Alto,Crowne Plaza,Hotel,4
224,Westin Palo Alto,8.8, Excellent ,257,"Next to Stanford University in Palo Alto, this Silicon Valley hotel features on-site dining and a modern fitness center. All guest rooms have a flat-screen cable TV. ",San Francisco,Palo Alto,Westin,Hotel,4
225,The Westin Pasadena,8.8, Excellent ,684,"This 4-star hotel is within a 5-minute walk of the Pasadena Museum of California Art. The hotel offers an outdoor heated pool, casual on-site restaurant and a 24-hour business center. ",Los Angeles,Pasadena,Westin,Hotel,4
226,Su Nido Inn,9.2, Awesome ,75,"Located in Ojai village, this all-suite inn features private parking. Every suite includes free Wi-Fi. This Ojai, California inn is steps from the Ojai Culinary Studio. ",Santa Barbara,Ojai,Local,Hotel,4
227,Harvest Inn,8.7, Excellent ,164,Harvest Inn is within 5 minutes' drive of Napa Valley wineries and the city of St. Helena. A full-service spa is onsite. This accommodations features guest rooms with flat-screen TVs and free WiFi. ,Napa,St. Helena,Local,Hotel,4
